NTA_code,NTA_name,borough_name,n_typical_listings,typical_nightly_earnings,typical_annual_trip_nights,typical_annual_short_term_trip_nights,proportion_entire_home,proportion_private_or_shared_room
BX40,Fordham South,Bronx,2,NA,NA,NA,NA,NA
BK88,Borough Park,Brooklyn,35,65,27,27,0.085,0.914
QN52,East Flushing,Queens,36,57.5,93.5,60.5,0.138,0.861
QN48,Auburndale,Queens,1,NA,NA,NA,NA,NA
QN51,Murray Hill,Queens,6,80.5,75,38,0.166,0.833
QN27,East Elmhurst,Queens,32,26.5,60,37.5,0.125,0.875
BX46,Parkchester,Bronx,5,NA,NA,NA,NA,NA
BX35,Morrisania-Melrose,Bronx,3,NA,NA,NA,NA,NA
QN44,Glen Oaks-Floral Park-New Hyde Park,Queens,2,NA,NA,NA,NA,NA
QN28,Jackson Heights,Queens,103,62,74,44,0.388,0.611
BX55,Soundview-Bruckner,Bronx,1,NA,NA,NA,NA,NA
QN07,Hollis,Queens,3,NA,NA,NA,NA,NA
MN06,Manhattanville,Manhattan,148,72.5,57,33,0.277,0.722
QN02,Springfield Gardens North,Queens,15,52,34,34,0.066,0.933
MN23,West Village,Manhattan,1227,187,39,32,0.819,0.18
BX62,Woodlawn-Wakefield,Bronx,4,NA,NA,NA,NA,NA
QN71,Old Astoria,Queens,94,78.5,62.5,44,0.404,0.595
QN46,Bayside-Bayside Hills,Queens,7,95,21,21,0.285,0.714
QN38,Pomonok-Flushing Heights-Hillcrest,Queens,11,62,57,19,0.363,0.636
QN68,Queensbridge-Ravenswood-Long Island City,Queens,77,111,39,37,0.506,0.493
BX28,Van Cortlandt Village,Bronx,8,53,77,58,0.25,0.75
BX13,Co-op City,Bronx,6,62.5,68.5,52.5,0,1
MN15,Clinton,Manhattan,1171,175,58,49,0.686,0.313
BK25,Homecrest,Brooklyn,12,54,74.5,20,0.25,0.75
BX59,Westchester-Unionport,Bronx,4,NA,NA,NA,NA,NA
BK68,Fort Greene,Brooklyn,343,127,33,25,0.688,0.311
QN41,Fresh Meadows-Utopia,Queens,4,NA,NA,NA,NA,NA
BK77,Bushwick North,Brooklyn,559,66,47,31,0.302,0.697
MN11,Central Harlem South,Manhattan,482,106.5,44,37,0.485,0.514
QN23,College Point,Queens,2,NA,NA,NA,NA,NA
XXXXX,Unknown,Unknown,85,130,68,49,0.705,0.294
QN18,Rego Park,Queens,20,79.5,14,9,0.45,0.55
MN17,Midtown-Midtown South,Manhattan,560,192,50,38,0.708,0.291
MN19,Turtle Bay-East Midtown,Manhattan,399,161,41,30,0.721,0.278
MN31,Lenox Hill-Roosevelt Island,Manhattan,575,142,57,37,0.76,0.24
BX01,Claremont-Bathgate,Bronx,1,NA,NA,NA,NA,NA
BX41,Mount Hope,Bronx,7,42,88,88,0.428,0.571
QN47,Ft. Totten-Bay Terrace-Clearview,Queens,4,NA,NA,NA,NA,NA
QN08,St. Albans,Queens,21,61,75,52,0.285,0.714
QN54,Richmond Hill,Queens,20,57,103.5,52.5,0.4,0.6
BX05,Bedford Park-Fordham North,Bronx,10,44,29,22.5,0.3,0.7
QN25,Corona,Queens,19,55,95,59,0.21,0.789
BX09,Soundview-Castle Hill-Clason Point-Harding Park,Bronx,3,NA,NA,NA,NA,NA
MN13,Hudson Yards-Chelsea-Flatiron-Union Square,Manhattan,1152,183,40,31,0.767,0.232
MN04,Hamilton Heights,Manhattan,474,73.5,62,42,0.371,0.628
BX26,Highbridge,Bronx,6,52.5,36,36,0,1
